bid;bname;blang;auth_id;auth_name;sid;sub;cat
42010;The Barrel Mystery;en;721;Flynn| William J.;721;Detective and Mystery;
42056;The Red Window;en;1401;Hume, Fergus;85;Detective and mystery ;LCSH
42095;The Eve of All-Hallows- Adelaide of Tyrconnel- v. 2 of 3;en;722;Hartstonge| Matthew Weld;722;Literary;
42115;The Trail-Hunter: A Tale of the Far West;en;723;Aimard| Gustave;723;Western Stories;
42117;The Pirates of the Prairies: Adventures in the American Desert;en;724;Aimard| Gustave;724;Western Stories;
42133;Bobs, a Girl Detective;en;1744;North, Grace May;85;Detective and mystery ;LCSH
42145;The World Before Them: A Novel. Volume 2 (of 3);en;725;Moodie| Susanna;725;Literary;
42165;The World Before Them: A Novel. Volume 1 (of 3);en;726;Moodie| Susanna;726;Literary;
42174;The World Before Them: A Novel. Volume 3 (of 3);en;727;Moodie| Susanna;727;Literary;
42276;In Greek Waters: A Story of the Grecian War of Independence;en;3350;Stacey, W. S. (Walter S.);79;Adventure;LCSH
42320;The Shadow of a Sin;en;728;Brame| Charlotte M.;728;Literary;
42366;The Cozy Lion: As Told by Queen Crosspatch;en;2926;Cady, Harrison;1138;Fantasy ;LCSH
42395;The Circle: A Comedy in Three Acts;en;1409;Maugham, W. Somerset (William Somerset);8938;Romance fiction;LCSH
42400;Mr. Punch's Book of Love: Being the Humours of Courtship and Matrimony;en;27;Hammerton, John Alexander, Sir;59;wit and humor;LCSH
42423;Justin Wingate- Ranchman;en;729;Whitson| John Harvey;729;Western Stories;
42462;Barbara Rebell;en;730;Lowndes| Marie Belloc;730;Literary;
42491;Lady Eureka- The Mystery: A Prophecy of the Future. Volume 1;en;731;Williams| Robert Folkestone;731;Literary;
42492;Lady Eureka- The Mystery: A Prophecy of the Future. Volume 2;en;732;Williams| Robert Folkestone;732;Literary;
42493;Lady Eureka- The Mystery: A Prophecy of the Future. Volume 3;en;733;Williams| Robert Folkestone;733;Literary;
42496;Miracle Gold: A Novel (Vol. 2 of 3);en;734;Dowling| Richard;734;Literary;
42498;Miracle Gold: A Novel (Vol. 1 of 3);en;735;Dowling| Richard;735;Literary;
42499;Miracle Gold: A Novel (Vol. 3 of 3);en;736;Dowling| Richard;736;Literary;
42519;Blackthorn Farm;en;737;Applin| Arthur;737;Literary;
42533;Narcissus;en;738;Scott| Evelyn;738;Literary;
42534;The Narrow House;en;739;Scott| Evelyn;739;Literary;
42536;Yonder;en;740;Young| E. H.;740;Literary;
42542;Lost Diaries;en;3574;Baring, Maurice;59;wit and humor;LCSH
